split,source,original,output,group,negative,md5,boxes
test,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/0_batch1.jpg,images/test/ansidd_0_batch1_00000.jpg,old_batch_1,0,053cdcd886a3f386ae81dbd9922a970e,2
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/101_batch3.jpg,images/train/ansidd_101_batch3_00001.jpg,old_batch_3,0,96f5169427e206560045d87c2502a5c6,3
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/103_batch3.jpg,images/train/ansidd_103_batch3_00002.jpg,old_batch_3,0,cf0732cc251421f8cebf1c262d3a7989,3
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/105_batch3.jpg,images/train/ansidd_105_batch3_00003.jpg,old_batch_3,0,361517b1e7e49f196ce2f769056c441f,1
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/108_batch3.jpg,images/train/ansidd_108_batch3_00004.jpg,old_batch_3,0,2e212b3acd978ac5678234cd37edce1a,1
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/110_batch3.jpg,images/train/ansidd_110_batch3_00005.jpg,old_batch_3,0,8de2426715ca27af48222436ab60b8fc,2
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/111_batch3.jpg,images/train/ansidd_111_batch3_00006.jpg,old_batch_3,0,9ef102ec612f48762a1bfd3bb572c1d6,2
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/115_batch3.jpg,images/train/ansidd_115_batch3_00007.jpg,old_batch_3,0,68d117401b9c9793267cfa376fc539c2,3
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/116_batch3.jpg,images/train/ansidd_116_batch3_00008.jpg,old_batch_3,0,715dc917bd05b5e20ef712b96d60defe,2
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/117_batch3.jpg,images/train/ansidd_117_batch3_00009.jpg,old_batch_3,0,e8d027f951901b361208ca8e62efe0b1,3
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/118_batch3.jpg,images/train/ansidd_118_batch3_00010.jpg,old_batch_3,0,c33af4b4d56c48203de69abfee1a79cd,3
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/119_batch3.jpg,images/train/ansidd_119_batch3_00011.jpg,old_batch_3,0,65dc31713887b5f614b0d4f65f6e8384,3
test,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/11_batch1.jpg,images/test/ansidd_11_batch1_00012.jpg,old_batch_1,0,1d4e01cb715b2db84ec5be06fec6f4be,5
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/121_batch3.jpg,images/train/ansidd_121_batch3_00013.jpg,old_batch_3,0,2e9c787cb0e3b43a927caf0998ec245f,3
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/122_batch3.jpg,images/train/ansidd_122_batch3_00014.jpg,old_batch_3,0,22b6dde4e763065c346aa1283d76f61d,3
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/123_batch3.jpg,images/train/ansidd_123_batch3_00015.jpg,old_batch_3,0,066625a17376cb0e510c30f3c7b4df30,3
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/126_batch3.jpg,images/train/ansidd_126_batch3_00016.jpg,old_batch_3,0,37c2f726806f0d447bd32c53c7a27b32,2
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/128_batch3.jpg,images/train/ansidd_128_batch3_00017.jpg,old_batch_3,0,28c91b19021cc344e408eb7789865dc2,2
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/131_batch3.jpg,images/train/ansidd_131_batch3_00018.jpg,old_batch_3,0,519e538365707644780e9c727b04f953,2
train,ansidd,/home/win98/my_projects/yoloproj/armorproj/datasets/armor/images/train/134_batch3.jpg,images/train/ansidd_134_batch3_00019.jpg,old_batch_3,0,34ca0247aeea74c05c49e33c4bda6e56,1
