image,label,class_name,source,group,split
images/train/4/number_classifier_10000_ee2590b6d472.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10001_830a3bee3ba9.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10002_fae5610e375e.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10003_56e4807aa3e2.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10004_fb9af21dc893.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10005_05681a47e3fb.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10006_163bc522b359.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10007_2ec9cef0e356.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10008_5a5b47404434.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10009_86c9d0a57c15.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10010_ef156cc1efad.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10011_74a38c5fd48d.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10012_d36b438a7e4c.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10013_9cd3f079b79c.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10014_7d3854b668cd.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10015_6008b4108f5e.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10016_41c2ae6782b5.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10017_0145a4c2875c.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10018_af2a4116b64a.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10019_2ea08231aeb4.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10020_d93269485ced.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10021_d8d9edd2f737.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10022_a69b12e78ed6.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10023_c2252dc2a13c.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10024_425266050d5d.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10025_6b00ff82728f.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10026_161d71f1eda5.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10027_6aadcd8641a6.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10028_c5ff7f73fa91.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10029_ea205b2517b0.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10030_0e5b682d1f94.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10031_c1082fee4e22.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10032_ea233016b6bd.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10033_efe357dac733.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10034_418ea5edc9d2.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10035_5c0036923bcb.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10036_1c3bb5ff3bf1.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10037_8cbe9c147332.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10038_76facbb770e2.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10039_a0c7b4330951.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10040_6caab0220788.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10041_1c7c3aaf15e7.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10042_bd329c53368a.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10043_e76c8e021a1b.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10044_3f2dde54f2ea.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10045_2b9974cb5aec.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10046_4fb8255a0c56.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10047_5a1e92379777.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10048_02f28a12e401.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10049_8776de67778c.jpg,4,4,number_classifier,number:200,train
images/train/4/number_classifier_10050_b6e9937cd904.jpg,4,4,number_classifier,number:201,train
images/train/4/number_classifier_10051_e1c80ab8aee5.jpg,4,4,number_classifier,number:201,train
images/train/4/number_classifier_10052_6984be987123.jpg,4,4,number_classifier,number:201,train
images/train/4/number_classifier_10053_4cb388b949a3.jpg,4,4,number_classifier,number:201,train
images/train/4/number_classifier_10054_096e87740e17.jpg,4,4,number_classifier,number:201,train
images/train/4/number_classifier_10055_732dad3f6143.jpg,4,4,number_classifier,number:201,train
